"","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365.2.5","B365.2.5.1"
"316","01/07/2020","18:00","Bournemouth","Newcastle",1,4,"A",0,2,"A","K Friend",12,12,1,7,11,10,6,3,2,0,0,0,2.4,3.1,3.2,2.37,1.57
"317","01/07/2020","18:00","Everton","Leicester",2,1,"H",2,0,"H","D Coote",7,15,2,3,13,10,3,5,1,1,0,0,2.5,3.3,2.9,2.1,1.72
"318","01/07/2020","20:15","West Ham","Chelsea",3,2,"H",1,1,"D","M Atkinson",10,17,4,6,10,9,2,3,2,1,0,0,5.5,4.33,1.57,1.72,2.1
"319","02/07/2020","18:00","Sheffield United","Tottenham",3,1,"H",1,0,"H","C Kavanagh",7,9,5,2,13,13,1,6,2,0,0,0,4.2,3.4,1.95,2.2,1.66
"320","02/07/2020","20:15","Man City","Liverpool",4,0,"H",3,0,"H","A Taylor",14,11,6,3,8,7,3,3,2,2,0,0,2.05,3.9,3.3,1.57,2.37
"321","04/07/2020","12:30","Norwich","Brighton",0,1,"A",0,1,"A","S Attwell",12,8,1,2,11,13,0,2,2,2,0,0,3.3,3.4,2.2,2.1,1.72
"322","04/07/2020","15:00","Leicester","Crystal Palace",3,0,"H",0,0,"D","J Moss",15,7,4,1,18,8,3,7,2,1,0,0,1.66,3.6,5.75,2.2,1.66
"323","04/07/2020","15:00","Man United","Bournemouth",5,2,"H",3,1,"H","M Dean",19,7,10,3,13,12,8,3,0,1,0,0,1.16,7.5,17,1.53,2.5
"324","04/07/2020","17:30","Wolves","Arsenal",0,2,"A",0,1,"A","M Oliver",10,8,1,5,6,11,3,5,2,4,0,0,2.25,3.4,3.25,2.1,1.72
"325","04/07/2020","20:00","Chelsea","Watford",3,0,"H",2,0,"H","K Friend",21,7,9,3,9,12,5,3,0,2,0,0,1.4,4.75,8,1.72,2.1
"326","05/07/2020","12:00","Burnley","Sheffield United",1,1,"D",1,0,"H","P Bankes",9,10,4,3,8,14,3,9,0,0,0,0,2.9,3,2.7,2.62,1.5
"327","05/07/2020","14:15","Newcastle","West Ham",2,2,"D",1,1,"D","C Pawson",11,17,4,7,9,11,6,4,0,0,0,0,2.6,3.3,2.75,2,1.8
"328","05/07/2020","16:30","Liverpool","Aston Villa",2,0,"H",0,0,"D","P Tierney",6,9,4,3,18,8,7,5,1,1,0,0,1.33,5.5,8.5,1.5,2.62
"329","05/07/2020","19:00","Southampton","Man City",1,0,"H",1,0,"H","A Marriner",8,26,4,6,6,7,2,13,1,2,0,0,8.5,6,1.3,1.53,2.5
"330","06/07/2020","20:00","Tottenham","Everton",1,0,"H",1,0,"H","G Scott",12,11,2,3,14,18,5,6,3,2,0,0,2.1,3.5,3.4,1.9,1.9
"331","07/07/2020","18:00","Crystal Palace","Chelsea",2,3,"A",1,2,"A","D Coote",13,14,4,6,11,10,7,9,1,0,0,0,8.5,4.5,1.4,1.86,2.04
"332","07/07/2020","18:00","Watford","Norwich",2,1,"H",1,1,"D","A Taylor",9,12,4,3,11,15,4,3,2,4,0,0,1.7,3.75,5,2,1.8
"333","07/07/2020","20:15","Arsenal","Leicester",1,1,"D",1,0,"H","C Kavanagh",11,13,7,5,10,14,10,1,1,0,1,0,2.3,3.5,3,1.9,1.9
"334","08/07/2020","18:00","Man City","Newcastle",5,0,"H",2,0,"H","A Madley",23,6,9,1,12,7,8,1,0,0,0,0,1.12,9,21,1.36,3.2
"335","08/07/2020","18:00","Sheffield United","Wolves",1,0,"H",0,0,"D","M Atkinson",7,6,3,1,5,6,6,1,2,0,0,0,3.8,3.2,2.1,2.75,1.44
"336","08/07/2020","18:00","West Ham","Burnley",0,1,"A",0,1,"A","M Oliver",21,8,5,4,7,7,10,3,1,1,0,0,2,3.4,3.9,2,1.8
"337","08/07/2020","20:15","Brighton","Liverpool",1,3,"A",1,2,"A","C Pawson",12,19,2,8,7,15,6,10,1,4,0,0,6,4.33,1.53,1.72,2.1
"338","09/07/2020","18:00","Bournemouth","Tottenham",0,0,"D",0,0,"D","P Tierney",9,9,2,0,11,14,8,12,3,2,0,0,5.25,3.8,1.66,1.72,2.1
"339","09/07/2020","18:00","Everton","Southampton",1,1,"D",1,1,"D","L Mason",11,17,4,4,13,14,3,5,3,3,0,0,2.05,3.5,3.6,1.9,1.9
"340","09/07/2020","20:15","Aston Villa","Man United",0,3,"A",0,2,"A","J Moss",9,14,1,6,7,13,3,5,2,3,0,0,9,5.25,1.33,1.66,2.2
"341","11/07/2020","12:30","Norwich","West Ham",0,4,"A",0,2,"A","K Friend",11,19,2,7,9,8,1,6,1,0,0,0,3.75,3.75,1.95,1.8,2
"342","11/07/2020","12:30","Watford","Newcastle",2,1,"H",0,1,"A","C Pawson",17,8,5,4,23,15,2,4,1,4,0,0,1.8,3.6,4.5,2.1,1.72
"343","11/07/2020","15:00","Liverpool","Burnley",1,1,"D",1,0,"H","D Coote",23,6,9,2,7,4,12,6,1,2,0,0,1.22,6.5,12,1.53,2.5
"344","11/07/2020","17:30","Sheffield United","Chelsea",3,0,"H",2,0,"H","A Marriner",9,15,4,4,8,6,4,6,1,0,0,0,6,3.8,1.6,2,1.8
"345","11/07/2020","20:00","Brighton","Man City",0,5,"A",0,2,"A","G Scott",3,26,0,8,7,3,2,7,1,0,0,0,10,5.5,1.28,1.53,2.5
"346","12/07/2020","12:00","Wolves","Everton",3,0,"H",1,0,"H","A Taylor",14,6,7,2,9,9,5,2,0,2,0,0,2.05,3.3,3.8,2.5,1.53
"347","12/07/2020","14:15","Aston Villa","Crystal Palace",2,0,"H",1,0,"H","M Atkinson",12,9,9,5,21,21,5,1,2,4,0,1,2.25,3.3,3.3,2,1.8
"348","12/07/2020","16:30","Tottenham","Arsenal",2,1,"H",1,1,"D","M Oliver",15,13,9,4,16,11,6,5,5,3,0,0,2.62,3.4,2.7,1.8,2
"349","12/07/2020","19:00","Bournemouth","Leicester",4,1,"H",0,1,"A","S Attwell",10,13,4,5,11,12,2,6,2,1,0,1,5.25,3.8,1.66,1.9,1.9
"350","13/07/2020","20:00","Man United","Southampton",2,2,"D",2,1,"H","C Kavanagh",8,9,4,5,14,15,4,6,1,3,0,0,1.3,5.5,10,1.61,2.3
"351","14/07/2020","20:15","Chelsea","Norwich",1,0,"H",1,0,"H","J Moss",22,2,6,0,10,9,8,1,2,2,0,0,1.12,9.5,17,1.36,3.2
"352","15/07/2020","18:00","Burnley","Wolves",1,1,"D",0,0,"D","M Dean",9,14,1,5,10,8,3,8,0,0,0,0,4.5,3.3,1.9,2.5,1.53
"353","15/07/2020","18:00","Man City","Bournemouth",2,1,"H",2,0,"H","L Mason",8,15,4,3,10,10,3,5,1,1,0,0,1.14,8.5,17,1.28,3.75
"354","15/07/2020","18:00","Newcastle","Tottenham",1,3,"A",0,1,"A","D Coote",22,8,6,5,6,13,5,4,2,3,0,0,4.6,3.8,1.75,1.9,1.9
"355","15/07/2020","20:15","Arsenal","Liverpool",2,1,"H",2,1,"H","P Tierney",3,24,2,8,14,10,2,13,3,1,0,0,3.8,3.8,1.9,1.57,2.37
"356","16/07/2020","18:00","Everton","Aston Villa",1,1,"D",0,0,"D","A Taylor",9,15,1,1,15,13,5,5,2,1,0,0,2,3.5,3.75,1.9,1.9
"357","16/07/2020","18:00","Leicester","Sheffield United",2,0,"H",1,0,"H","M Oliver",15,5,7,1,12,10,9,5,1,2,0,0,2.05,3.25,3.9,2.2,1.66
"358","16/07/2020","20:15","Crystal Palace","Man United",0,2,"A",0,1,"A","G Scott",13,17,5,5,10,15,2,7,1,2,0,0,9.5,4.75,1.36,1.72,2.1
"359","16/07/2020","20:15","Southampton","Brighton",1,1,"D",0,1,"A","A Marriner",21,10,6,2,6,10,8,2,1,0,0,0,2.15,3.3,3.5,2.1,1.72
"360","17/07/2020","20:00","West Ham","Watford",3,1,"H",3,0,"H","M Atkinson",10,14,4,3,11,11,9,3,0,2,0,0,2.4,3,3.3,2,1.8
"361","18/07/2020","17:30","Norwich","Burnley",0,2,"A",0,1,"A","K Friend",6,23,2,8,9,16,6,8,0,0,2,0,3.2,3.4,2.25,2,1.8
"362","19/07/2020","14:00","Bournemouth","Southampton",0,2,"A",0,1,"A","C Pawson",11,16,3,8,12,11,12,6,2,2,0,0,2.4,3.6,2.8,1.72,2.1
"363","19/07/2020","16:00","Tottenham","Leicester",3,0,"H",3,0,"H","A Taylor",7,24,3,6,15,10,4,13,2,1,0,0,2.25,3.3,3.25,1.9,1.9
"364","20/07/2020","18:00","Brighton","Newcastle",0,0,"D",0,0,"D","S Hooper",11,12,3,1,13,12,9,7,4,2,0,0,1.9,3.4,4.33,2.1,1.72
"365","20/07/2020","18:00","Sheffield United","Everton",0,1,"A",0,0,"D","S Attwell",8,5,0,2,11,19,7,1,1,3,0,0,2.2,3.25,3.5,2.3,1.61
"366","20/07/2020","20:15","Wolves","Crystal Palace",2,0,"H",1,0,"H","P Bankes",11,7,5,3,11,15,5,2,2,1,0,0,1.5,4,7.5,2.3,1.61
"367","21/07/2020","18:00","Watford","Man City",0,4,"A",0,2,"A","M Oliver",2,26,0,10,14,11,0,8,2,0,0,0,8.5,5.5,1.33,1.5,2.62
"368","21/07/2020","20:15","Aston Villa","Arsenal",1,0,"H",1,0,"H","C Kavanagh",8,7,3,0,13,19,8,9,2,4,0,0,3.3,3.6,2.1,1.66,2.2
"369","22/07/2020","18:00","Man United","West Ham",1,1,"D",0,1,"A","P Tierney",11,12,4,3,10,9,2,3,3,1,0,0,1.22,6.5,11,1.5,2.62
"370","22/07/2020","20:15","Liverpool","Chelsea",5,3,"H",3,1,"H","A Marriner",10,10,7,5,8,11,6,0,1,0,0,0,2,3.75,3.5,1.57,2.37
"371","26/07/2020","16:00","Arsenal","Watford",3,2,"H",3,1,"H","M Dean",13,19,5,6,9,12,4,8,3,3,0,0,1.9,3.8,3.8,1.61,2.3
"372","26/07/2020","16:00","Burnley","Brighton",1,2,"A",1,1,"D","J Moss",13,14,2,4,11,11,6,7,3,0,0,0,2.37,3.4,3,1.9,1.9
"373","26/07/2020","16:00","Chelsea","Wolves",2,0,"H",2,0,"H","S Attwell",11,5,3,1,10,16,3,3,2,3,0,0,1.85,3.8,4,1.9,1.9
"374","26/07/2020","16:00","Crystal Palace","Tottenham",1,1,"D",0,1,"A","A Marriner",13,7,2,2,11,13,7,2,3,2,0,0,6,4.2,1.55,1.72,2.1
"375","26/07/2020","16:00","Everton","Bournemouth",1,3,"A",1,2,"A","C Kavanagh",13,13,5,7,11,9,2,5,1,0,0,0,2.25,3.7,3,1.57,2.37
"376","26/07/2020","16:00","Leicester","Man United",0,2,"A",0,0,"D","M Atkinson",14,7,3,3,12,11,3,3,1,4,1,0,3.25,3.5,2.2,1.9,1.9
"377","26/07/2020","16:00","Man City","Norwich",5,0,"H",2,0,"H","C Pawson",31,5,10,4,7,4,9,0,1,1,0,0,1.08,11,26,1.22,4.33
"378","26/07/2020","16:00","Newcastle","Liverpool",1,3,"A",1,1,"D","A Taylor",3,14,2,6,11,5,2,4,1,0,0,0,7.5,5.25,1.36,1.53,2.5
"379","26/07/2020","16:00","Southampton","Sheffield United",3,1,"H",0,1,"A","P Bankes",13,5,4,3,9,16,9,1,0,1,0,0,2.15,3.5,3.3,1.9,1.9
"380","26/07/2020","16:00","West Ham","Aston Villa",1,1,"D",0,0,"D","M Oliver",10,13,1,4,16,13,0,7,2,1,0,0,3,3.6,2.3,1.66,2.2
